Date;Advanced Micro Devices (EUR);Airbus (EUR);Alphabet A (EUR);Amazon (EUR);BASF (EUR);Bayer (EUR);BP (EUR);BMW (EUR);Brenntag (EUR);Cisco (EUR);Commerzbank (EUR);Deutsche Bank (EUR);Deutsche Telekom (EUR);Dow (EUR);Einhell Ger  Vz I (EUR);E.ON (EUR);Equinor (EUR);Evonik Industries (EUR);Exxon Mobil (EUR);Henkel (EUR);Honeywell (EUR);IBM (EUR);ING (EUR);Infineon (EUR);Intel (EUR);Linde (EUR);Mercedes-Benz (EUR);Merck KGaA (EUR);Meta (EUR);Microsoft (EUR);Novartis (EUR);NVIDIA (EUR);Palantir (EUR);Pfizer (EUR);Porsche (Vz) (EUR);Qiagen (EUR);Rheinmetall (EUR);RWE (EUR);SAP (EUR);Shell (EUR);Siemens (EUR);Tesla (EUR);Total Energy (EUR);Volkswagen (EUR);Wacker Chemie (EUR)
24.05.2021 00:00:00;63,52;98,33;96,43;132,85;68,34;56,32;3666;85,90;76,60;43,89;6521;12386;17274;57,14;;10214;17382;29,25;48,82;82,25;183,15;113,3272;11,16;32,40;46,96;245,95;63765;146,95;265,90;205,15;;12,8675;17,21;32655;;41,7261;84,14;32,73;116,16;16486;137,26;165,10;;278,20;136,75
25.05.2021 00:00:00;63,58;97,49;96,33;133,10;67,25;55,47;3608;85,67;77,24;43475;6,57;12,14;17154;57,02;;10002;17302;29,35;47565;82,15;183,25;112,1806;11076;32,60;46,38;248,05;64,2183;147,55;267,50;205,60;;12,7675;17534;32065;;42,0442;84,36;32,28;114,64;16096;135,66;164,7167;;279,60;137,55
26.05.2021 00:00:00;64,3;97,89;97,47;133,90;66,86;53,60;3602;86,39;77,08;43345;6,47;12196;17,20;56,90;;10,03;17,53;29,06;48295;82,35;183,40;112,2284;11122;32,30;46,67;246,10;65,1417;148,10;268,70;205,95;;12,88;18124;31885;;42,8077;84,84;32,12;115,54;16,00;135,56;169,20;;281,00;138,95
27.05.2021 00:00:00;64;106,42;96,75;132,45;66,90;52,44;3568;87,46;77,10;43,40;6,66;12276;17,16;56,60;;9896;17,68;29,38;48,03;81,75;188,90;112,6584;11,40;32,55;47,22;246,25;65,4775;145,35;273,10;204,80;;12,6925;18572;31745;;42,9349;85,64;31,40;113,88;15,83;132,90;172,3333;;289,00;140,15
28.05.2021 00:00:00;65,8;108,22;96,5;132275;67,30;52,44;3588;87,29;77,20;43455;6643;12382;17098;56,14;;9999;17854;29,44;47935;81,70;189,75;112,7061;11,45;33,10;46835;247,50;64,4785;147,10;269,75;204,90;;13325;18822;31785;;42,8607;85,52;31,22;114,96;15802;134,90;171,2333;;296,20;138,25
31.05.2021 00:00:00;65,42;106,8;96,65;132,00;67,19;51,77;3554;86,56;77,32;43,00;6584;12,11;17,04;56,24;;9872;17,55;29,59;48005;81,15;188,25;112,8972;11302;33,40;46,89;246,55;63,7986;147,60;267,15;204,00;;13,2525;19,00;31805;;42,7971;85,56;30,99;113,84;15664;132,98;169,8333;;293,00;136,90
01.06.2021 00:00:00;66,23;109,24;97,44;131725;67,99;51,60;3672;89,01;78,24;43115;6,66;12,40;17228;57,56;;9934;18464;29,46;49415;81,60;190,90;112,6584;11,67;33,60;46505;246,85;65,5698;147,20;269,50;202,15;;13,31;18868;31525;;41567;86,18;31,39;114,52;16188;135,28;170,20;;300,40;137,95
02.06.2021 00:00:00;67,26;110,82;97;132375;68,09;52,25;3758;89,92;77,32;43,27;6839;12438;17214;56,50;;9,95;18798;29,90;49,90;81,90;189,50;113,9483;11544;33,12;47105;248,00;65,8468;144,00;269,15;202,40;;13,72;20,05;31695;;40,9202;86,10;30,75;114,34;16402;136,36;165,2667;;309,80;135,85
03.06.2021 00:00:00;66,2;109,7;96,54;131,40;68,19;52,29;3,80;93,55;77,68;43,96;6875;12,51;17276;57,70;;9961;18814;30,03;50,35;81,95;188,70;114,4739;11664;33,05;46405;245,85;67,1564;144,25;269,00;202,55;;13,99;19482;32,10;;40,9414;86,50;30,68;113,60;16,57;135,70;157,4167;;309,40;135,00
04.06.2021 00:00:00;67,24;110,28;98,47;131,75;68,62;52,67;3734;94,69;77,30;44,35;6,82;12,43;17262;57,98;;10,05;18,90;29,10;50,46;81,60;188,05;115,8116;11428;33,40;47225;246,00;66829;146,55;271,35;206,00;;14,4475;19778;32195;;40,6339;87,36;30,82;114,48;16488;136,20;164,1167;;308,60;137,15
07.06.2021 00:00:00;66,55;111,62;98,48;131125;68,58;53,10;3716;95,80;77,82;44,20;6773;12346;17,49;56,52;;9981;18976;29,29;50,12;82,55;187,10;115,9072;11286;33135;46905;247,45;67,1648;147,30;276,15;208,25;;14,4625;20,07;32,00;;40,9096;86,90;30,92;115,12;16242;136,24;165,5167;;312,20;139,50
08.06.2021 00:00:00;66,56;111,5;98,85;134175;68,09;52,90;3,77;95,55;77,38;44,41;6723;12278;17402;57,30;;10034;18918;29,23;51,02;81,05;188,90;117,0538;11278;32915;46735;239,85;66,6695;150,85;274,15;207,40;;14355;20035;31925;;41,0686;86,02;31,11;116,32;16,21;136,50;165,2667;;303,00;135,60
09.06.2021 00:00:00;65,77;110,96;98,77;134,80;67,61;53,00;3782;94,51;76,90;44,35;6616;11,99;17352;56,90;;10106;18,84;29,04;51,50;80,55;187,50;118,2005;11,06;32905;46,91;240,90;65,83;154,90;271,40;208,35;;14,27;19968;32,70;;40,9838;85,56;30,89;115,20;16432;136,02;163,8333;;300,80;135,60
10.06.2021 00:00:00;66,91;110,48;100,05;137575;67,33;53,05;3778;92,63;76,54;45,10;6,63;11,77;17,70;55,96;;10046;18852;28,62;51,76;79,30;186,45;118,1527;11,01;33,75;47135;238,90;65,7881;155,65;273,25;211,50;;14,3125;19884;33425;;41,8109;85,48;30,54;116,10;16402;135,48;167,00;;295,80;137,70
11.06.2021 00:00:00;67,18;112,48;100,35;138075;67,70;53,37;3816;94,85;75,94;45,19;6,55;11672;17808;56,02;;10,06;18862;28,73;51,37;80,50;186,25;119,2994;11,12;33,99;47,78;238,70;66,9381;155,65;273,35;212,70;;14705;20345;33,10;;41,7049;86,42;30,80;118,10;16658;136,76;167,80;;298,20;142,35
14.06.2021 00:00:00;67;112,82;100925;139,50;67,44;53,21;3,87;94,94;76,12;44,37;6421;11574;17776;55,20;;10,20;18926;28,33;51,10;80,70;184,45;117,9616;11238;34355;47,91;240,30;66,2078;154,50;277,75;214,25;;14,8525;20,65;32,65;;41514;86,18;31,14;120,02;17036;136,40;169,80;;297,40;141,00
15.06.2021 00:00:00;66,45;113,56;100175;139475;67,11;53,53;3902;94,35;76,66;44,29;6413;11678;17908;55,52;;10,14;18764;28,55;53,06;81,95;184,55;117,8183;11,20;33,93;47825;240,25;66,4932;154,20;277,75;212,95;;14,6475;20,13;32,62;;41,7897;85,42;31,06;118,76;17,37;138,78;164,7667;;295,60;139,60
16.06.2021 00:00:00;66,63;113,98;100,65;142225;66,36;53,25;3896;92,76;77,62;44,64;6379;11,48;17,64;54,64;;10198;18,28;28,54;53,44;82,05;182,90;117,8183;11,30;33,98;47,66;240,35;65,9811;151,15;275,50;214,35;;14,8425;20,61;32,72;;42,3517;86,02;31,43;118,98;17352;137,00;167,80;;290,40;137,10
17.06.2021 00:00:00;71,17;115,06;102,25;146,60;66,41;53,58;3834;93,45;79,10;44,67;6339;11,27;17738;53,12;;10098;17656;28,61;52,10;82,50;182,30;117,1494;11,19;33,90;48,10;241,65;66,8038;154,75;282,65;219,55;;15,69;21,35;33,23;;41,6837;85,72;31,09;119,00;17,22;137,30;172,5667;;293,40;129,95
18.06.2021 00:00:00;71,57;112,7;101,25;147025;64,65;52,95;3698;91,10;77,20;43,90;6183;10,93;17612;52,48;;9,96;16946;28,58;50,75;79,15;179,10;115,2861;10,99;32,65;47,18;242,30;64,8227;151,90;278,05;218,25;;15,6875;21,35;32625;;42,2563;84,46;30,30;117,98;16564;134,24;175,0667;;285,60;124,50
21.06.2021 00:00:00;69,47;112,72;102225;144,85;66,08;52,49;3,78;93,15;79,14;44,50;6171;11044;17,83;52,88;;9969;17,51;28,18;52,53;78,45;182,05;117,6749;11158;32875;46,81;237,90;66,6023;153,90;278,95;220,45;;15,48;21235;33,06;;41,9381;85,38;30,54;118,40;16934;136,94;173,6667;;294,20;126,75
22.06.2021 00:00:00;70,06;112,5;102,45;146,70;65,85;51,38;3786;92,97;78,58;44675;6226;10,90;17984;53,32;;9923;17534;28,39;53,49;78,45;181,45;117,1016;11174;32925;46,73;242,45;66,5268;156,95;284,25;222,10;;15,8325;21275;33,18;;42129;84,64;30,24;118,26;17,16;136,92;174,0333;;289,00;132,85
23.06.2021 00:00:00;70,21;111,54;102,45;147,00;65,36;50,85;3806;91,80;79,68;44355;6195;10846;17754;53,24;;9925;17864;28,45;53,87;77,80;180,75;116,0027;11,16;32465;46445;244,00;65,7629;155,35;285,75;222,40;;15975;22005;32805;;42,2032;83,66;30,10;116,90;17234;136,72;183,5667;;284,80;129,55
24.06.2021 00:00:00;72,29;112,02;102,6;144,50;66,01;51,59;3,83;92,66;79,54;44155;6,23;11088;17878;52,80;;9,96;18106;28,14;53,87;78,30;182,65;116,7672;11202;33,10;47015;238,95;66,3169;158,00;287,00;223,60;;16,1125;22,20;32,87;;42,8925;83,70;30,54;118,10;17498;135,60;189,6667;;285,40;134,55
25.06.2021 00:00:00;71,84;110,62;102,45;142325;66,18;51,77;3806;92,25;79,78;44395;6279;11148;17832;53,12;;9822;18154;28,22;54,19;77,35;183,90;117,4361;11254;32,85;46,82;239,00;65,3431;158,80;285,95;222,00;;15,9375;22,22;32,70;;43,1682;84,34;30,48;118,02;17506;136,96;187,4333;;282,80;132,40
28.06.2021 00:00:00;73,2;108,12;102,8;144,40;65,46;51,59;3728;91,16;79,16;44,36;6,15;10984;17938;52,72;;9949;17728;28,14;52,83;78,30;181,90;116,2894;11116;33,44;48285;239,50;64,2183;159,40;298,20;225,40;;16765;22995;32,85;;43,9741;82,68;30,80;118,46;16,97;134,70;192,4667;;277,00;131,50
29.06.2021 00:00:00;75,4;106,04;102875;144775;67,35;51,88;3696;90,90;78,92;44395;6,05;11018;17998;52,74;;9871;17,77;28,07;52,69;77,80;182,30;116,7194;11162;34485;47,56;243,15;64,2938;161,20;295,00;228,15;;16835;22355;32,87;;44,0165;85,20;30,89;119,62;16,90;135,00;190,6667;;283,80;132,65
30.06.2021 00:00:00;79,29;108,8;102,7;145,05;66,81;51,35;3,72;89,65;78,40;44,66;5974;10,98;17,88;53,48;;9797;18074;28,29;53,22;78,00;185,35;118296;11,20;34,05;47165;243,60;63404;162,25;293,05;228,80;;16,88;22195;33075;;43,2954;83,78;30,56;118,62;17058;134,12;191,1333;;276,60;130,75
01.07.2021 00:00:00;78,61;110;103375;144,75;67,40;51,97;3786;90,14;78,82;45,18;6037;11094;17866;53,80;;9821;17,99;28,41;53,43;78,20;186,65;118,3438;11314;33,25;47,34;244,35;63,9916;163,20;299,05;229,35;;17,0375;20905;33,31;;43,8468;84,38;30,90;118,60;17492;134,60;190,7667;;281,80;134,30
02.07.2021 00:00:00;79,71;111,96;105575;147,95;67,30;51,71;3796;89,95;78,40;45,10;5948;10954;17926;53,62;;9898;18148;28,54;53,27;78,95;186,80;112,7061;11,15;33205;47875;245,90;63,9916;162,50;298,85;233,95;;17,2725;20635;33,48;;44,1968;83,68;30,96;118,86;17384;133,92;190,6667;;281,20;132,95
05.07.2021 00:00:00;79,52;113,04;105925;147,45;67,71;51,54;3806;89,54;78,78;45405;6038;11,04;17958;53,82;;9919;18156;28,09;53,99;78,40;186,65;113,4706;11314;33,46;47815;246,50;63,8153;163,95;299,50;234,15;;17425;20,65;33,35;;43,7726;83,98;31,21;118,20;17466;133,62;190,5667;;282,80;131,00
06.07.2021 00:00:00;80,01;111,24;106725;155,30;66,18;51,00;3688;86,20;78,96;44785;5872;10,64;17804;52,48;;9,97;17924;28,27;51,97;78,95;184,65;112085;11002;33,23;47,60;246,95;61,5068;165,70;298,40;234,80;;17,50;20,81;33165;;44,5785;81,36;31,45;119,90;17118;132,44;186,0667;;274,40;127,80
07.07.2021 00:00:00;76,84;110,04;107,15;156,50;66,63;51,20;3648;86,64;80,58;45,06;5683;10484;17972;52,80;;10158;17494;27,85;51,26;78,85;186,15;113,0406;10836;33,52;47,41;243,65;60,9444;168,35;296,90;237,35;;17,2525;19444;33385;;45,3844;80,40;31,95;125,00;17184;134,30;181,80;;277,80;128,30
08.07.2021 00:00:00;75,32;109,62;105,4;157,45;65,70;50,65;3,63;84,43;80,70;44945;5573;10142;17,86;52,22;;10068;17128;28,35;50,66;78,05;185,20;113,4706;10542;32395;46,55;247,50;59,6013;169,85;291,45;234,05;;16,78;19,50;33,07;;45,1829;81,04;31,37;122,82;17118;131,38;183,8333;;267,20;124,15
09.07.2021 00:00:00;76,71;112,84;105,8;156,55;68,00;51,19;3658;87,65;82,20;45285;5,71;10,54;17968;53,22;;10,08;17372;28,10;51,55;78,55;188,00;113,7094;10954;33145;47,10;242,50;61,2214;169,60;294,95;234,00;;16875;19632;33375;;45,0133;81,40;31,32;124,06;17246;132,90;184,30;;281,40;127,40
12.07.2021 00:00:00;76,44;112,44;107,1;156775;67,55;50,73;3664;88,54;81,92;44,80;5709;10644;18258;53,24;;10,20;17314;28,71;51,76;78,30;189,45;113,4706;10868;33,10;47,80;246,90;61616;170,00;297,70;233,80;;17305;19,39;33,60;;43,7726;81,26;32,10;125,70;17,13;133,50;192,6333;;289,60;128,00
13.07.2021 00:00:00;76,5;111,44;108125;156,25;68,15;50,68;3642;88,10;82,70;45,28;5637;10,45;18,44;53,24;;10178;17,41;28,94;51,72;78,60;189,90;113,6617;10668;33,02;48265;246,00;61,3138;170,95;299,05;238,70;;17,2075;19112;33,70;;42,5532;81,42;31,54;127,24;17178;134,84;189,2333;;286,60;127,35
14.07.2021 00:00:00;75,23;111,04;108,4;155,30;67,91;51,02;3576;88,68;82,30;45,69;5582;10,44;18368;52,64;;10146;17242;28,99;50,25;78,70;192,15;112,8495;10734;33,40;47815;245,90;61,8174;171,25;293,50;238,85;;16,7475;18,25;33725;;41,6094;81,78;31,25;127,12;16958;133,52;184,10;;289,60;128,65
15.07.2021 00:00:00;73,51;110,4;107,5;153,55;67,63;50,52;3,50;87,38;83,20;45395;5648;10318;18202;52,52;;10222;16804;28,89;49965;77,85;197,35;113,5661;10,62;32,56;47,18;245,75;61,5488;170,25;291,60;238,00;;16,0575;18172;33,94;;43,0197;79,98;30,76;125,24;16674;130,50;183,6667;;283,80;126,85
16.07.2021 00:00:00;72,94;109,86;107,45;151,35;67,02;50,79;3394;85,01;82,10;45495;5,55;10116;18,26;50,82;;10378;16,65;29,09;48525;78,20;194,25;112515;10354;31,72;46,57;247,20;60,2728;170,20;288,85;237,80;;15,3925;18,06;34,17;;42,4047;80,42;30,29;125,00;16346;129,12;182,0333;;279,80;124,10
19.07.2021 00:00:00;73,2;103,02;105525;150425;64,86;49,43;3276;82,87;81,22;44,90;5294;9935;17618;48,69;;10166;15,94;29,25;46,93;76,95;186,85;111,8461;10,10;30965;46055;246,70;58,4512;168,90;285,40;234,80;;15,91;18156;33,99;;43,5817;77,78;29,03;122,70;15804;126,62;182,50;;272,00;117,55
20.07.2021 00:00:00;74,31;107,7;107,5;151,95;65,74;50,35;3308;83,45;82,74;45,49;5361;10074;17512;49,73;;10194;16,17;28,35;47,54;78,00;194,40;113,7572;10246;31,31;47,02;241,90;59,3075;169,20;290,45;237,00;;15776;18,78;34,90;;44,9602;78,98;28,90;122,70;15776;127,40;187,1333;;276,40;121,50
21.07.2021 00:00:00;75,62;111,48;108,1;151825;66,75;51,22;3416;84,35;82,62;45655;5524;10,56;17,92;50,58;;10294;16782;29,08;49,00;78,05;196,45;114,1872;10,57;32,30;47495;246,70;59,8279;168,25;293,00;238,50;;16438;19018;34,85;;45,2465;80,40;29,20;118,08;16348;130,70;185,00;;286,00;121,75
22.07.2021 00:00:00;77,67;110,04;108,95;154,60;66,80;51,19;3354;83,58;83,72;46,29;5,45;10,45;17,78;51,48;;10288;16622;29,07;48,58;77,45;198,10;113,9483;10472;31,71;47495;249,05;60105;170,55;298,40;243,20;;16,67;18,70;35,23;;46,1797;80,22;29,89;118,80;16,20;133,96;183,60;;280,20;123,20
23.07.2021 00:00:00;78,38;111,96;113;155,20;67,01;51,10;3342;85,38;84,32;46,97;5444;10578;17878;51,18;;10,38;16526;28,88;48495;77,30;193,10;114,6172;10512;32005;45,04;250,95;62,9843;173,95;314,50;246,20;;16618;18574;35405;;46,7841;80,20;30,23;117,98;16,12;134,44;182,1667;;279,60;122,80
26.07.2021 00:00:00;77,6;112,36;113675;156525;67,30;51,39;3,43;85,50;84,84;47,07;5475;10,63;17802;52,38;;10318;16,94;29,33;49,48;77,25;194,85;115,5728;10884;32315;46075;254,30;63,3369;171,70;315,35;244,80;;16374;18772;35,47;;45,9464;81,66;29,90;117,80;16588;134,54;185,6333;;280,00;124,40
27.07.2021 00:00:00;77;112,96;111,5;153,30;66,94;50,55;3404;83,60;84,70;46715;5,40;10636;17,85;52,16;;10384;16,66;29,10;48765;76,65;194,20;115,2861;10,72;31435;44975;252,60;62,2959;173,00;311,15;242,35;;16256;18302;35695;;46,2751;81,10;29,98;119,18;16502;133,46;182,00;;279,00;123,05
28.07.2021 00:00:00;82,83;113,42;115,05;153,35;66,44;50,36;3456;83,97;84,00;46,27;5412;10578;17798;52,36;;10418;16886;29,34;49,34;77,15;194,90;114,6172;10798;31,84;44,85;252,70;62,1029;173,00;315,65;241,60;;16458;19,05;36,72;;46,1479;82,08;29,96;121,00;16612;132,90;182,0333;;281,80;124,30
29.07.2021 00:00:00;86,45;116;114225;151,35;66,90;51,34;3474;84,71;84,08;46,27;5,48;10816;17,65;52,60;;10434;16806;29,28;49,53;77,35;196,35;113,9006;10,97;32,90;45,18;250,90;63,5467;172,45;301,70;241,00;;16542;18,68;35995;;46,6462;81,90;29,96;121,54;17,25;133,08;190,00;;282,60;126,30
30.07.2021 00:00:00;89,32;115,36;113,6;140,35;66,56;50,39;3412;83,66;84,36;46705;5,47;10558;17538;52,40;;10322;16,55;29,40;48,62;77,00;196,55;113,6139;10786;32,20;45315;251,00;63,2865;173,00;300,35;239,95;;16426;18282;36,10;;47,1128;81,32;29,96;120,96;17152;131,78;193,2333;;280,40;123,65
02.08.2021 00:00:00;91,69;116,66;113,65;140,40;66,30;50,46;3398;84,51;84,44;46,70;5386;10,46;17402;52,10;;10394;16,85;29,17;48525;77,50;196,00;113,9483;10,79;33485;45,14;258,35;64,2099;174,70;296,05;240,10;;16648;18646;37025;;47,1764;81,82;30,15;120,60;17186;134,38;199,3667;;282,60;123,25
03.08.2021 00:00:00;94,52;115,62;114325;141825;66,74;50,16;3598;81,39;85,54;47,28;5453;10,48;17612;52,40;;10496;17132;29,63;48,98;78,55;195,70;116,0983;11008;33,42;45455;253,90;63,7566;175,20;296,00;242,00;;16678;18778;38,50;;46,6356;82,00;30,19;122,46;17,55;135,14;199,5667;;288,60;126,05
04.08.2021 00:00:00;100,1;114,52;114325;141,80;66,58;49895;3528;81,31;86,62;47045;5145;10438;17,58;51,78;;10392;16,98;29,64;48,10;78,95;195,90;115,2861;11008;34,55;45,55;255,95;63,6139;176,60;303,75;242,15;;17128;18828;38,19;;47,0492;82,60;30,26;123,22;17302;137,42;200,30;;290,40;129,90
05.08.2021 00:00:00;95,12;116,48;115,15;142625;66,80;46,78;3592;81,49;86,54;47,10;5,19;10588;17532;51,62;;10452;17076;29,82;48,21;79,10;194,20;115,0472;11118;35,20;45,45;259,15;63127;188,75;306,95;244,50;;17426;19022;38,07;;47187;84,20;30,83;125,40;17384;141,58;201,10;;291,00;131,00
06.08.2021 00:00:00;93,71;117,48;115,45;142275;67,23;47,10;3626;82,03;85,88;47,17;5352;10,78;17712;52,74;;10418;17274;29,10;49,18;79,40;195,10;117,0538;11552;35,21;45945;258,45;63,7986;181,05;309,10;246,00;;17,34;18,58;38,28;;46,9219;84,90;30,64;124,34;17586;140,28;198,20;;299,40;129,50
09.08.2021 00:00:00;91,88;115,58;116675;142475;67,20;47,39;3572;81,73;86,06;47,30;5416;10898;17,83;52,54;;10,53;17182;29,06;48,74;79,05;194,20;115095;11,56;35595;46,12;260,00;62,8584;184,95;308,05;245,90;;17,31;19456;39175;;47081;84,46;31,04;124,86;17452;138,86;202,9333;;295,60;131,95
10.08.2021 00:00:00;90,75;115,52;116,7;141,65;67,42;47,38;3656;81,98;86,24;47,40;5401;10868;17846;53,96;;10648;17,30;29,01;49675;79,85;197,55;114,9994;11632;35455;46,00;257,90;62531;186,85;308,00;243,95;;16982;19,58;41,10;;46,8265;83,40;31,34;124,22;17,64;139,34;201,8333;;298,40;133,15
11.08.2021 00:00:00;91,99;116,16;116,1;140,30;68,14;47515;3676;82,26;85,34;47,50;5,46;11002;17944;54,68;;10,70;17772;29,18;49685;78,85;199,45;115955;11698;34955;46,18;257,90;62,6653;188,25;306,70;244,35;;16,75;19148;39475;;45,9252;82,84;31,32;123,88;17,80;141,50;200,9333;;301,00;133,70
12.08.2021 00:00:00;91,01;115,34;116,95;140,80;68,90;47,95;3646;83,38;85,82;48125;5451;10946;18432;54,28;;10726;17932;29,21;48,85;78,80;197,45;116,3372;11628;34,79;45,66;260,60;63,6307;191,65;309,10;247,05;;16946;21,11;40295;;46,0736;82,22;31,26;125,38;17498;142,94;205,0667;;312,80;133,00
13.08.2021 00:00:00;93,46;115,54;116,65;139,60;68,95;47,89;3562;82,94;86,16;47,89;5478;10964;18,50;54,00;;10798;17938;29,47;48,30;78,45;197,10;115,9072;11664;34405;45,23;261,80;63,3452;195,05;307,50;248,30;;17064;21055;41,07;;46,0948;83,70;31,37;125,52;17,19;142,20;202,5667;;309,00;132,95
16.08.2021 00:00:00;91;114,96;117375;140,05;68,48;47,77;3,50;81,67;86,06;47,83;5301;10,81;18648;53,92;;10948;17832;29,68;47495;77,60;195,90;116,4805;11622;34,30;45,29;261,25;62531;197,90;311,40;250,20;;16,95;20815;41545;;46,7311;84,16;31,62;125,06;16854;142,06;194,40;;301,40;133,45
17.08.2021 00:00:00;91,67;113,28;116675;138,50;67,85;47,87;3,53;80,58;86,00;47,63;5,26;10634;18,70;52,96;;11006;17,90;29,13;47,37;76,35;197,00;116,0027;11,54;33,83;44,95;264,90;61,0871;198,65;306,15;250,25;;16616;20505;43,05;;47,1234;83,52;31,78;126,86;17006;142,30;189,6667;;291,00;132,40
18.08.2021 00:00:00;88,55;112,9;115,75;136,60;67,91;47,74;3516;79,50;86,80;46,98;5248;10632;18,87;53,14;;11,16;17888;29,02;46,40;76,85;195,00;113,9006;11476;33775;44,56;266,60;60,1889;200,60;303,70;247,90;;16302;21,60;42,01;;47,7809;83,02;32,51;126,04;16,85;142,22;196,2333;;291,80;139,40
19.08.2021 00:00:00;88,59;110,2;116,35;136,45;65,70;47,60;3,40;77,77;85,64;48905;5,18;10,45;18598;51,90;;11268;17,01;28,90;45085;77,40;194,05;113375;11346;33,40;44815;265,55;58,7618;203,50;304,00;254,00;;16942;20725;41,70;;47,9611;81,94;32,84;126,00;16,50;138,80;192,10;;281,20;139,30
20.08.2021 00:00:00;89,44;110,6;117,55;136,75;64,80;47345;3,37;77,24;84,86;49835;5179;10,50;18,73;52,02;;11298;17,10;28,59;45,15;77,35;195,70;113,6617;11,43;34,35;44,47;266,50;58,9633;207,70;307,00;260,00;;17806;20515;41705;;48,3004;81,70;33,62;126,20;16446;138,84;193,80;;281,00;138,90
23.08.2021 00:00:00;92,91;112,24;119275;139,00;65,30;47755;3466;76,92;86,52;49,91;5,22;10,52;18858;52,94;;11,37;17734;28,42;46755;76,95;195,70;113,6139;11,44;34,52;45,34;268,35;58,6527;203,50;309,30;259,35;;18712;21135;42,50;;48,5761;83,02;33,53;126,36;16828;139,86;200,50;;279,00;141,80
24.08.2021 00:00:00;91,77;113,2;120,25;140575;66,50;48,04;3498;78,50;86,38;50,49;5235;10662;18,67;53,94;;11,16;17,98;28,64;47,08;77,90;196,00;113,7094;11548;35175;45,80;266,80;59,4082;200,60;311,20;257,30;;18,56;21,37;41135;;48,6716;84,06;33,31;126,04;16,83;140,06;200,9333;;283,00;146,60
25.08.2021 00:00:00;92,26;115,68;120,7;140,20;66,49;47765;3484;78,11;86,30;50,50;5347;10,80;18618;54,44;;11112;17,93;28,73;47,14;77,45;197,00;113,7572;11564;35,50;45755;266,00;59,6097;199,65;312,80;256,80;;18908;20,67;40285;;48,9897;83,66;33,13;124,92;16,80;138,82;201,4333;;284,00;147,75
26.08.2021 00:00:00;91,27;114,76;120,4;141,05;65,81;47155;3482;77,93;86,16;50,30;5252;10474;18394;54,26;;11,09;18,02;28,89;46605;76,95;195,60;112,8495;11,60;35,46;45,25;266,10;59,2571;199,05;309,85;254,40;;18806;21,23;40305;;49329;83,00;33,00;124,76;16,80;138,72;198,7333;;281,00;147,50
27.08.2021 00:00:00;94,59;115,08;122,1;142,00;66,61;47295;3512;78,50;86,66;50,24;5245;10516;18,50;55,54;;11052;18398;28,74;47,30;77,20;196,50;112,9928;11688;36095;45715;265,00;59,9622;199,50;316,10;254,10;;19176;21785;39475;;49944;83,88;32,84;125,48;17,08;140,68;201,1667;;281,80;149,30
30.08.2021 00:00:00;94,5;115;122575;145,00;66,88;47,21;3,50;79,16;87,12;50,05;5227;10,40;18418;54,46;;11108;18,45;29,02;46,80;77,60;196,85;112,7061;11,62;36535;45,75;266,95;60,2477;202,90;322,80;257,40;;19194;21,87;39,59;;50,4742;83,48;32,61;126,46;17004;141,12;206,3667;;286,80;149,00
31.08.2021 00:00:00;93,57;115,98;122575;146975;65,60;47,17;3,47;80,38;85,86;49735;5307;10472;18,00;53,36;;11234;18,07;29,15;46,12;76,05;196,30;113,5661;11652;36,20;45805;268,10;60,0882;200,80;321,60;255,85;;18928;22,20;39005;;50,0077;83,22;33,09;126,70;16842;140,30;207,70;;282,80;149,70
01.09.2021 00:00:00;93;117,9;122,6;146,90;64,88;47,34;3448;79,60;85,00;49905;5379;10,55;18084;52,92;;11,22;18032;28,68;45,48;77,30;194,15;112515;11,81;36,45;45345;266,30;59,8111;202,70;322,65;254,75;;18962;22145;38,80;;50,3788;81,74;33,54;127,22;16814;139,40;206,9667;;291,40;148,55
02.09.2021 00:00:00;91,69;116,52;120675;145,75;65,04;47,79;3492;79,29;86,06;49,99;5386;10502;17932;53,14;;11138;18,67;28,21;46405;76,70;194,65;112,4672;11792;37,00;45195;265,05;59,1983;205,50;315,45;253,40;;18832;22,30;39395;;50,7499;81,68;33,64;125,40;16988;141,32;205,3333;;293,40;150,65
03.09.2021 00:00:00;92,65;114,72;120,8;146,40;64,80;47,59;3464;79,32;85,32;50,13;5451;10,56;17774;51,84;;11146;18,69;28,46;46195;76,10;191,80;112,4672;11844;36,80;45,10;265,70;58,9465;206,50;316,25;253,40;;19246;22395;39,44;;50,6439;81,00;33,20;125,48;16,91;142,52;205,7333;;288,60;150,80
06.09.2021 00:00:00;93,12;116,84;121875;147,25;65,52;47,77;3,49;80,31;86,60;50,30;5548;10786;17998;53,32;;11,16;19268;28,38;46235;75,75;193,00;112,3239;11814;37365;45,60;264,50;58,8458;206,30;318,85;255,25;;19472;22,50;39555;;50,2197;80,36;33,29;127,36;16876;146,62;206,00;;289,00;154,10
07.09.2021 00:00:00;92,37;114,34;121875;148,15;65,35;47485;3,48;80,48;86,16;49605;5729;10,85;18042;52,36;;11022;19,34;28,41;46,10;75,35;188,45;111,3684;11,79;36,84;45,32;271,55;59,2067;202,30;322,60;253,60;;19116;22515;39,46;;50,6545;79,36;32,77;126,30;16948;147,00;211,7333;;285,60;154,80
